链接	小区	户型	面积(平米)	朝向	装修	是否电梯	成交年月	成交日期	总价(万)	楼层	总楼层数	建筑年份	签约来源	单价(元/平)	状态
http://bj.lianjia.com/chengjiao/BJHD89327381.html	西山公馆	1室1厅	69	西	精装	有电梯	2015-06	2015.06	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD89279703.html	西山公馆	1室1厅	72	南	精装	有电梯	2015-06	2015.06	暂无	高楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	房本满两年
http://bj.lianjia.com/chengjiao/BJHD88256114.html	西山公馆	2室1厅	110	东 西	精装	有电梯	2015-04	2015.04.20	495	高楼层	共7层	2010年建板楼	链家网签约	44918	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD88914433.html	西山公馆	4室3厅	295	南 北	精装	有电梯	2015-04	2015.04	暂无	未知楼层	共7层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD89065002.html	西山公馆	3室2厅	151	南 北	精装	有电梯	2015-03	2015.03.31	710	中楼层	共7层	2010年建板楼	链家网签约	47045	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD88758960.html	西山公馆	2室1厅	110	东 西	精装	有电梯	2015-03	2015.03.29	496.5	中楼层	共7层	2010年建板楼	链家网签约	44997	EmptyInfo
EmptyLink	西山公馆	--室--厅	111	暂无数据	其他	有电梯	2015-02	2015.02	暂无	未知楼层	共7层	2010年建板楼	自行成交	暂无均价	EmptyInfo
EmptyLink	西山公馆	--室--厅	151	暂无数据	其他	有电梯	2014-12	2014.12	暂无	低楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
EmptyLink	西山公馆	--室--厅	110	暂无数据	其他	有电梯	2014-12	2014.12	暂无	未知楼层	共7层	2010年建板楼	自行成交	暂无均价	EmptyInfo
http://bj.lianjia.com/chengjiao/BJHD88562398.html	西山公馆	2室2厅	110	东 西	精装	有电梯	2014-12	2014.12	暂无	中楼层	共6层	2010年建板楼	可靠第三方成交	暂无均价	EmptyInfo
